style,files
.node-details-content,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/styles/global.css
.node-details-panel,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/styles/global.css
.node-header,frontend/src/styles/global.css
.node-properties,frontend/src/styles/global.css
.node-section,frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.node-title,frontend/src/styles/global.css
.node-type,backend/api.py;docs/api.md;frontend/src/App.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/services/SchemaService.ts;frontend/src/services/__tests__/SchemaService.test.ts;frontend/src/styles/global.css
.node-type-details,frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/styles/global.css
.node-view,frontend/src/components/ContextPanel/views/NodeView/NodeView.tsx;frontend/src/styles/global.css
.node-view-content,frontend/src/styles/global.css
.node-view-header,frontend/src/styles/global.css
.nodes-panel,frontend/src/grammar/GrammarPage.tsx;frontend/src/styles/global.css
.order-toggle,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.panel,docs/node_edit_for_users.md;frontend/src/App.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/ContextPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/GrammarPage.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.plot-container,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.property-item,frontend/src/styles/global.css
.property-key,frontend/src/styles/global.css
.property-value,frontend/src/styles/global.css
.recommended,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.region-background,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.region-indicator,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.relationship-actions,frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.relationship-context,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.relationship-description,frontend/src/styles/global.css
.relationship-details-content,frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.relationship-details-header,frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.relationship-details-panel,frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.relationship-direction-indicator,frontend/src/styles/global.css
.relationship-header,frontend/src/styles/global.css
.relationship-preview,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.relationship-properties,frontend/src/styles/global.css
.relationship-section,frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.relationship-select,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.relationship-title,frontend/src/styles/global.css
